all_time_volume,chain,one_day_volume,pool_ids,projects,seven_day_volume,seven_day_volume_liquidity_ratio,thirty_day_volume,token_a_address,token_b_address,token_pair,usd_liquidity
65414842266.96755,arbitrum,43141184.55161411,"['0x8285530c639b9aee36557312facd2f7d6c797c18', '0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c', '0xa2f1c1b52e1b7223825552343297dc68a29abecc', '0xc2264e0ba9ce7182c33fe713577f6820ab5a4226', '0x945e4660e391e613546e1b2ad32fed5f1250b066', '0x94d53be52706a155d27440c4a2434bea772a6f7c', '0x9f57b2de9be9610c6c6c07bed17682381b5f9e91', '0x38e81e616fa532201e4c7ff9953a9b40cc842f39', '0x393d819039a71cfd04744a62040049bd6756d627', '0x40ed16a83a94df000462ccdfda3c83865d0207ca', '0x8e0dbba493a4b7d54d431351d85b07b0ff5035bb', '0x905dfcd5649217c42684f23958568e533c711aa3', '0x64541216bafffeec8ea535bb71fbc927831d0595', '0xf91cb08df79a668fbe8038308ab1b0187a9f61a9', '0x521aa84ab3fcc4c05cabac24dc3682339887b126', '0x4863b63ffa8ce68e349f92f10cbce87957340cd1', '0x312702d569fb1b90d79d7ee06584c6feb9126588', '0x5513a48f3692df1d9c793eeab1349146b2140386', '0x7e5e4a3f855f19cc1a45b9eff1c8b2419036ce85', '0x1b321841ff322633a7277a8657d93aec1e5fe744', '0xfe176a2b1e1f67250d2903b8d25f56c0dabcd6b2', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x6e8aee8ed658fdcbbb7447743fdd98152b3453a0', '0x8b8149dd385955dc1ce77a4be7700ccd6a212e65', '0x0e8fcea6153205e3a3a184b0613578c3d1729eab', '0xabbc5f99639c9b6bcb58544ddf04efa6802f4064', '0x7b07164ecfaf0f0d85dfc062bc205a4674c75aa0', '0x2862788cd3d46a5109305689dd9ad0ef7cdb03f0', '0xed071ab4d80d78d3b1a7dfb8ddcb7d540fcdf547', '0xe754841b77c874135caca3386676e886459c2d61', '0x7ec3717f70894f6d9ba0be00774610394ce006ee', '0xc715a30fde987637a082cf5f19c74648b67f2db8', '0x17c14d2c404d167802b16c450d3c99f88f2c4f4d', '0xa84f451d93a42ae3627d3adfc78a39f34ae17f92', '0xda57aaf912619bf10e8e585e932e20d941269733', '0x4303dbbd7175294609fc498b9d7677f05295856a', '0xc31e54c7a869b9fcbecc14363cf510d1c41fa443', '0x57bda5d6c054e07d26d70023eef4bfc1ffafbb21', '0xd315a9c38ec871068fec378e4ce78af528c76293', '0x0559bf66543012022b1aee4c06bdee604e057f95', '0x26333db71b82e2df33d1c11158470b73e3d27072', '0x1f79f8a65e02f8a137ce7f79c038cc44332df448', '0xdb0f89c3aeb216d4329985442039f3737cbfc949', '0x4bca34ad27df83566016b55c60dd80a9eb14913b', '0x1251ef3b87157b86f189bdea80b54673b0b59698', '0x84652bb2539513baf36e225c930fdd8eaa63ce27', '0xc53e453e4a6953887bf447162d1dc9e1e7f16f60', '0xac1554faf24cf51b92405dfa2c2dd0f78445b0b3']","['clipper', 'chronos', 'oasisswap', 'trader_joe', 'auragi', 'sushiswap', 'balancer', 'ramses', 'dodo', '0x API', 'arbswap', 'zyberswap', 'pancakeswap', 'gmx', 'xchange', 'rubicon', 'gridex', 'uniswap', 'swaap', 'woofi', 'kyberswap', 'integral', 'camelot', 'apeswap']",269124987.6916544,874.1336122334338,1756109286.5395062,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,USDC-WETH,14778060.502894498
27855371567.72265,arbitrum,116273498.2669581,"['0xabbc5f99639c9b6bcb58544ddf04efa6802f4064', '0x111111125421ca6dc452d289314280a0f8842a65', '0xb1026b8e7276e7ac75410f1fcbbe21796e8f7526', '0xc715a30fde987637a082cf5f19c74648b67f2db8', '0xa59bd260f9707ea44551c510f714ccd482ec75d8', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0xc473e2aee3441bf9240be85eb122abb059a3b57c', '0xbedb464ef776fe208e3f2b5c0bafbe7983ef49db', '0xe604bd2d8691f1875a2a00940ae7a2556b797e5b', '0xd315a9c38ec871068fec378e4ce78af528c76293', '0x7fcdc35463e3770c2fb992716cd070b63540b947', '0x30afbcf9458c3131a6d051c621e307e6278e4110', '0xd9e2a1a61b6e61b275cec326465d417e52c1b95c', '0xea8cb16d47310d0f8c04a81ba1c6b000696ddbf9', '0x1111111254eeb25477b68fb85ed929f73a960582', '0x57b85fef094e10b5eecdf350af688299e9553378', '0xd90572fab07fc112c90f50800a8f597c810772be', '0x2428895370859036b7012f8239ad61082c21bf81', '0xbe0a388ae4819044849aca624e9e6c552fe10d8a', '0x54b26faf3671677c19f70c4b879a6f7b898f732c', '0x769728b5298445ba2828c0f3f5384227fbf590c5', '0xb83783c9cb35f1b1a6338937f9be3ebb36b46bfe', '0x42fc852a750ba93d5bf772ecdc857e87a86403a9', '0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a', '0xb3d494d53aac707c469318f15cfd5d7857a61388', '0x6f38e884725a116c9c7fbf208e79fe8828a2595f', '0x12b8bc27ca8a997680f49d1a6fc1d93d552aacbe', '0x69f1216cb2905bf0852f74624d5fa7b5fc4da710', '0x5053e51b6e75561034ea5dae2cac7ac9f9d12be9', '0xc6962004f452be9203591991d15f6b388e09e8d0']","['gmx', 'camelot', 'rubicon', '0x API', 'swaap', 'ramses', 'pancakeswap', '1inch LOP', 'sushiswap', 'arbswap', 'clipper', 'uniswap', 'integral', 'trader_joe', 'smardex']",765421677.1260848,592.9005778805521,4739533162.370879,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,USDC-WETH,38729343.7895901
23153322325.056496,arbitrum,49936356.66364574,"['0xd387c40a72703b38a5181573724bcaf2ce6038a5', '0x0bacc7a9717e70ea0da5ac075889bd87d4c81197', '0x97b192198d164c2a1834295e302b713bc32c8f1d', '0xabbc5f99639c9b6bcb58544ddf04efa6802f4064', '0x50378628c32fc7ce989e05a9eaac3de065e0e5ac', '0x42161084d0672e1d3f26a9b53e653be2084ff19c', '0xf31778748b3364fc43d6ab6aac4f52e2c29b6353', '0x8a263cc1dfdce6c64e2a1cf6133c22eed5d4e29d', '0x630388b8a8d22bb401e0c6a91c3a7956535cb30e', '0x389938cf14be379217570d8e4619e51fbdafaa21', '0xc82819f72a9e77e2c0c3a69b3196478f44303cf4', '0x769728b5298445ba2828c0f3f5384227fbf590c5', '0x1506b54a1c0ea1b2f4a84866ec5776f7f6e7f0b1', '0x111111125421ca6dc452d289314280a0f8842a65', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x26eb80694019ae9d7c44e072a1a67c6f4beaab83', '0x58039203442c9f2a45d5536bd021a383c7f3035c', '0xc715a30fde987637a082cf5f19c74648b67f2db8', '0xaeab1336efc2bf74bc89fcf0e33e6013f3c8587e', '0xcb0e5bfa72bbb4d16ab5aa0c60601c438f04b4ad', '0x33ecc05a09a84af2153c208ee7e61a31c6b1adf1', '0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c', '0x7cccba38e2d959fe135e79aebb57ccb27b128358', '0xc4e9fce31518d4233c224772dc5532d49c5354c0', '0x1111111254eeb25477b68fb85ed929f73a960582', '0x8728574af6a374fa9920be639267e78f45c4ea02', '0xd8dc6387975ef96df4248ef95f44174b2402a960', '0xf91883d09c44ec2f9bc7ffe45b9c62c6fc5575f1', '0x781cbd1bd33fa149da02fef0b71fe3ff25913b40', '0x641c00a822e8b671738d32a431a4fb6074e5c79d', '0xbeb125e43b46f757ece0428cde20cce336af962e', '0xc7ff48e5a7e6a14bc4d7dca1c3e4b38321121d0b', '0xd04bc65744306a5c149414dd3cd5c984d9d3470d', '0x357a50e53c0d40c86f6314e3b3f183b53c3c9ee4', '0x84a2edfe3551a0dee68fa3d399bd67ec575889b0', '0x7e0a6013b8f15209491e021e394271b9d3ee5b68', '0x05f097fa0041650deed0757a7f616050db796dbe', '0x114aee703ff8ef904774b691ce840e1a06cab2f3', '0xa2d807f22a35e3c05a1ae096c719bf9eaf5e71e6']","['pancakeswap', 'gmx', 'gridex', 'integral', 'chronos', 'uniswap', 'dodo', '0x API', 'auragi', 'rubicon', 'sushiswap', 'kyberswap', 'clipper', 'camelot', 'zyberswap', '1inch LOP', 'apeswap', 'trader_joe', 'ramses', 'arbswap']",363788310.3429152,772.1231182793571,2463000917.916478,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,USDT-WETH,18374976.435092967
22592736544.482265,arbitrum,21339967.23213778,"['0x6ce9bc2d8093d32adde4695a4530b96558388f7e', '0x1713f5d04a741a2dd2d026ce7cab5614a499e1c0', '0x275f7112e3900fdf3c9532d749dd4985790e7933', '0x769728b5298445ba2828c0f3f5384227fbf590c5', '0x1e38bffe4a032bb1f921f59ecb4b560499566ccd', '0xaef17009c9e1c3af8145e8b610923abbd27af450', '0xc43230d7a4c6eec83749bc09f06628acc0ee9f02', '0xee1d31ab646056f549a78feacb73be45332fa078', '0xa06505ba5468366789d7f3197fa8c5c2eb84357d', '0x237620283242871979baea07ff110d32f80579cc', '0x0d7c4b40018969f81750d0a164c3839a77353efb', '0xafebf9bba7984954e42d7551ab0ce47130bfdc0a', '0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358', '0x99aceebed8ba60cd7cdac53449ad7391e9bd6872', '0x4832e0a194281d1ffe464c654e4e938f642dd362', '0xbe3bce7b168430c41e9f1fec76fc05ecff6b3143', '0xf084c741c580ad16f82d5bc56c40db296ffc5773', '0xc8ebf314f5cd8efa494d7d5322ae2182d518dcd7', '0x75eb76eb00f350709c51346c845984ca96fc0033', '0xc6f780497a95e246eb9449f5e4770916dcd6396a', '0x11d53ec50bc8f54b9357fbfe2a7de034fc00f8b3', '0xe7e407e082bb89fcee639a3d5cef91859f9ceaaa', '0xbf6cbb1f40a542af50839cad01b0dc1747f11e18', '0x89a4026e9ade251c67b7fb38054931a39936d9c5', '0x4f97f9c261d37f645669df94e5511f48d63064e2', '0x759f94dfa47d2568e1c5ab921e15687209811ef9', '0x49f0baca3331f2a34ddab1180ca2af790117e238', '0xd7606fd134b779f769566194b047b54f47d6eb56', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0xe7c1a88df07259b626566ddf9f27ec101361245f', '0xafe909b1a5ed90d36f9ee1490fcb855645c00eb3', '0x7db09b248f026f1a77d58b56ab92943666672968', '0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f', '0xc04d58efdf361caf7e370f29ccd8e32685851a59', '0x92fd143a8fa0c84e016c2765648b9733b0aa519e', '0x103b03051bf073c44decfaf8dfd12275254ab97e', '0x92c63d0e701caae670c9415d91c474f686298f00', '0x76d14b266e3ddbb0e5d142d537b7bdcca0a062ea', '0x111111125421ca6dc452d289314280a0f8842a65', '0x1111111254eeb25477b68fb85ed929f73a960582', '0xdf03ca6c633f784ac5e062dd708b15728b488621', '0xc98eb0d2ee91936fb8c26b5d453d3df202b3fa6e', '0x0d39d54ce32eb8690c9eb2c76ea092897e478e9b', '0xe51635ae8136abac44906a8f230c2d235e9c195f', '0x24e24acd861642b4244bb1297d8944d84c2e9625', '0x9a8cbb4cb9bc153042ab3a9b1c8c77b9bb6d7af0', '0xc45fc9f140b00e568e47012127456fc2fa29aca3', '0x836edfa0630096f5c387546b00c42ab9e1099812', '0x70f71a61cfecc80a7a2ebcb9c9acc6a243ef5dbb', '0x627798b84cd97b132559cf65fb03f67805fa7600']","['ramses', 'apeswap', 'clipper', 'pancakeswap', 'trader_joe', 'arbswap', 'uniswap', 'sushiswap', 'gridex', '0x API', 'chronos', 'zyberswap', 'auragi', '1inch LOP', 'kyberswap', 'camelot', 'integral', 'smardex']",167812475.64337972,437.19480608303166,1173427170.5582683,0x912ce59144191c1204e64559fe8253a0e49e6548,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,ARB-WETH,19191956.68709627
14426628207.836775,arbitrum,41765432.29023926,"['0x11e5a79cf29293419c5a031b8dd761aa35d54e67', '0x6cb6d9f30101375fe4760b052cdbee4108013041', '0x2f5e87c9312fa29aed5c179e456625d79015299c', '0x54076c901d4fdf76c1fa1f77fafc3fc1022adbe5', '0x4bfc22a4da7f31f8a912a79a7e44a822398b4390', '0x161d29fcca34aba2948aca15710092bb795c0f52', '0x9e2997c09a0607e666f3d401fd3ee49928c6ef1b', '0x149e36e72726e0bcea5c59d40df2c43f60f5a22d', '0x99dfc0126ed31e0169fc32db6b89adf9fee9a77e', '0x64541216bafffeec8ea535bb71fbc927831d0595', '0xd315a9c38ec871068fec378e4ce78af528c76293', '0x5b69430721b580bb502af14d07001ac5de10ac6a', '0x3cffc000dc8da9e0123b0058b364387f3537bfc1', '0x2a83e1aa650b364ac88b39f1f67a34abcca8e6f2', '0x769728b5298445ba2828c0f3f5384227fbf590c5', '0x1111111254eeb25477b68fb85ed929f73a960582', '0x4cefe08ea644291626f286dd9223eaef932560c4', '0x4183885f851687300beb0ee7694727417d75dd13', '0x1f79f8a65e02f8a137ce7f79c038cc44332df448', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x2760cc828b2e4d04f8ec261a5335426bb22d9291', '0x328d434488f420654de553df518ac4198027ef1a', '0x111111125421ca6dc452d289314280a0f8842a65', '0x03a3be7ab4aa263d42d63b6cc594f4fb3d3f3951', '0x10c230a35d086080e8b993bbd65e6d6c117d5351', '0xcfa09b20c85933b197e8901226ad0d6daca7f114', '0x562fd67e0e4ffbc5a4df9a91f9d74949f392b437', '0x9d51052d2ea0367e38efdc04c1324ee08c4189fe', '0x515e252b2b5c22b4b2b6df66c2ebeea871aa4d69', '0xabbc5f99639c9b6bcb58544ddf04efa6802f4064', '0x8c1d83a25ee2da1643a5d937562682b1ac6c856b', '0x60f7fd6ff531477d0737de2dba16d1ceb0001054', '0x25f7be5d78a05a725546ebc630b394ef5854aca7', '0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c', '0xd845f7d4f4deb9ff5bcf09d140ef13718f6f6c71', '0x96059759c6492fb4e8a9777b65f307f2c811a34f']","['auragi', 'uniswap', 'pancakeswap', 'gridex', 'balancer', 'swaap', 'smardex', '1inch LOP', 'apeswap', 'woofi', '0x API', 'ramses', 'kyberswap', 'trader_joe', 'chronos', 'sushiswap', 'gmx', 'arbswap', 'clipper', 'camelot']",229814344.81205976,160.4982039526653,1491668132.8231874,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WBTC-WETH,51547719.59737408
11077305543.77822,arbitrum,10229069.687259749,"['0xa7d9174712bf15563df4eec13cf4fb57c91ed31d', '0xf4ce2cd8423d0fd003c4dceb40f98f46c9d2b587', '0xdcca64e393ec2d5740bc3a021482f96089e9c59b', '0x8165c70b01b7807351ef0c5ffd3ef010cabc16fb', '0x280ae11f4329d94a69a8be97e892d27c8b650961', '0x8c9d230d45d6cfee39a6680fb7cb7e8de7ea8e71', '0xe97af01c48c0a332c06a92df36b77b2a680ab54b', '0x0ddb3ff01cae54b99e7a48b1775d7ee33eb4bc96', '0x3bee546efd79b2057145f3775c5f359539e71da2', '0x13fda18516eafe5e8ae930f86fa51ae4b6c35e8f', '0x17f74f88d2283c7c6ddb0f7cc6cf581e134812a5', '0xe2f6d9d96d1c046aa8e9e9604c7fe5a41c32e48f', '0x2ebef62858a32bd33c2026d9f6d8a86275af5087', '0xc9445a9afe8e48c71459aedf956ed950e983ec5a', '0xe25c248ee2d3d5b428f1388659964446b4d78599', '0xf942e32861ee145963503ddb69fc3b0237f0888c', '0x087abaab9cd85025a8b3916948c69fe173c837ea', '0xe2b407c9698ab8d45018e83397a7b745b1f9e238', '0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c', '0xc715a30fde987637a082cf5f19c74648b67f2db8', '0x13398e27a21be1218b6900cbedf677571df42a48', '0x1c31fb3359357f6436565ccb3e982bc6bf4189ae', '0xabbc5f99639c9b6bcb58544ddf04efa6802f4064', '0x0242dd3b2e792cdbd399cc6195951bc202aee97b', '0x2ff6ed5a5d750b89e56db748a88d362b0d265692', '0xbf0aa7eef5b94fe11d4d0a72be9d29882415e3bb', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x4d7ce479ce0993e1ab98c15cee6d8f33926871da', '0x3ab5dd69950a948c55d1fbfb7500bf92b4bd4c48', '0xe4b2dfc82977dd2dce7e8d37895a6a8f50cbb4fb', '0xc23f1d198477c0bcae0cac2ec734ceda438a8990', '0x72469b4ae2ddbe70bf05c2a15176dba779cc4cf5', '0x6059cf1c818979bccac5d1f015e1b322d154592f']","['auragi', 'sushiswap', 'pancakeswap', 'arbswap', 'apeswap', 'gridex', 'chronos', 'ramses', 'zyberswap', 'clipper', 'rubicon', 'uniswap', 'camelot', 'gmx', 'trader_joe', '0x API', 'dodo', 'kyberswap']",81914330.40437199,856.7143322202853,553514551.6248553,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDC-USDT,3155279.188966825
10714340041.218721,arbitrum,9463278.440008508,"['0xc308a81cf3985baacc0a4496d937936339033407', '0xc715a30fde987637a082cf5f19c74648b67f2db8', '0xf91107230f06e31ab7213826fd204e0a06c2e052', '0xd302119b5c46d504d0b3534312e56ec321976251', '0x4df58a2c15f2d55c00bd807f2840533e0fe7301d', '0xb072281373dd6f0eaaa4661e70fe6d9530c39026', '0xd40b7b05ab39a39658de1d7c9301a9ed765b3472', '0x4e635d35bb02576d0eab75ef5e7ebe61c12f3c76', '0x3f637e5ca73643472d362c2193564d9148947c4e', '0xba9f17ca67d1c8416bb9b132d50232191e27b45e', '0xf8a60082039a1acbe43b045f87aa0c5f24a358a4', '0x66c207494632df0adf81af291a58cf4181436f52', '0xdac2b8ba301024e4f01bb37aeb87ca9bcded68ea', '0x21d783c9a1543787d1a867a8a7059965c081c334', '0xa0521223d69c3223f69c951b7cbbfdf9ac071c47', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0xe2d0f5eef029122a758287a507e52b91b87baf30', '0xa8328bf492ba1b77ad6381b3f7567d942b000baf', '0xf3013b72a4c70a8475ff5331d8f2937e5faf135f', '0x81c48d31365e6b526f6bbadc5c9aafd822134863', '0x3136010d266152f3890d303c8ac8bcf3b2fe30e3', '0x6970b5c57750c513e1bb8663f0e237f5ab678b6e', '0x99f1cb34f8122a038d9ff50d01465ef273d8fc7f', '0x63c9282f2d72aeb221c4a5f2db10dfb900a4cba9', '0xafe6ea84d16a0f9394a8fccc8ea3f2907013a630', '0x855a24f58eb3ba4af6bfbd77173371ef9369a66b', '0x292c6a8821d20ad60c51ce54170134621ecce234', '0x2ddbb16c2098a345d2f161706e9ac1c809ddd688', '0x5b902f0f00b05a58c296932dc550137e0a5f7ce8', '0x338b50b05f1300439a3ce80e6fbaa613051b3349', '0x445bf52fa2df7ff1b9f8a60c3a166e6f1518800e', '0xcda53b1f66614552f834ceef361a8d12a0b8dad8']","['trader_joe', 'rubicon', 'arbswap', 'chronos', 'camelot', 'pancakeswap', 'kyberswap', '0x API', 'ramses', 'apeswap', 'auragi', 'sushiswap', 'gridex', 'uniswap']",62476088.8581617,548.301808099727,332431581.0341751,0x912ce59144191c1204e64559fe8253a0e49e6548,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,ARB-USDC,3646230.6232219213
6663360309.866675,arbitrum,14988568.412129575,"['0x7e928afb59f5de9d2f4d162f754c6eb40c88aa8e', '0xdf63268af25a2a69c07d09a88336cd9424269a1f', '0xabbc5f99639c9b6bcb58544ddf04efa6802f4064', '0xd315a9c38ec871068fec378e4ce78af528c76293', '0xd7e7ad63359e2aa9e841f6e1326fb7e69479a50b', '0x9957ab69651efe39b17c778e1435258f6a2cd314', '0x769728b5298445ba2828c0f3f5384227fbf590c5', '0x113dff7d034e9f76daf43beac365dc64743dfaaf', '0xc715a30fde987637a082cf5f19c74648b67f2db8', '0xbe3ad6a5669dc0b8b12febc03608860c31e2eef6', '0x111111125421ca6dc452d289314280a0f8842a65', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0xa17afcab059f3c6751f5b64347b5a503c3291868', '0xbce73c2e5a623054b0e8e2428e956f4b9d0412a5', '0xcea42bf6bb23a7180da36da12d8b463580a17e3b', '0xfc43aaf89a71acaa644842ee4219e8eb77657427', '0x1111111254eeb25477b68fb85ed929f73a960582', '0x8cebfb915f7aa8474abcf0fff11d869a256eb887', '0xdeae1ff5282d83aadd42f85c57f6e69a037bf7cd', '0x935763d7c14925690b89b14d738ecd8bf37db39a']","['pancakeswap', 'ramses', 'gmx', 'swaap', 'clipper', 'rubicon', 'uniswap', '0x API', 'camelot', 'kyberswap', 'trader_joe', '1inch LOP', 'sushiswap']",109977636.02381565,233.20957752620396,934352278.5803484,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDC-USDT,9431656.897663932
4947699680.340971,arbitrum,4856319.400064953,"['0x6ce912d22a9763226ae90126edf2f53bda429e2d', '0xb435ebfe0bf4ce66810aa4d44e3a5ca875d40db1', '0x9364579db9af7c643d05735bccc120c2dfc188d6', '0x9c456423d73dee043a6c33548a928b0722cbd4a7', '0xdc2167f4a5dec5401eceff1cb55c3573a13f24bd', '0x05c6f695ad50c16299bedca3fe9059b56550082f', '0x60563686ca7b668e4a2d7d31448e5f10456ecaf8', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x5e609d174eedb5ccb42d290a3ba37b56c4cfcb41', '0xf5bfda16f9e57f0b7a67c57b42407c33c31349b6', '0x1111111254eeb25477b68fb85ed929f73a960582', '0x5fbbef48ce0850e5a73bc3f4a6e903458b3c0af4', '0x8e60573138675f7185c85ac67bfd9b3fb8de758f', '0xf8aa710b64a953e12b5e1e6f82b72bac5c5ac35a', '0x80a9ae39310abf666a87c743d6ebbd0e8c42158e', '0x5c383bce684728a40da5061f0464680263794d35', '0x81107b1c3df0121138e3d8f0a697146a8de43314', '0x1aeedd3727a6431b8f070c0afaa81cc74f273882', '0x111111125421ca6dc452d289314280a0f8842a65', '0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee', '0x9e233dd6a90678baacd89c05ce5c48f43fcc106e']","['uniswap', 'gridex', 'sushiswap', '0x API', 'pancakeswap', '1inch LOP', 'trader_joe', 'ramses', 'kyberswap', 'auragi', 'smardex', 'camelot', 'clipper']",18602721.253119998,19.196967781317426,175464962.96439856,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,GMX-WETH,20349940.197102863
4356201683.992355,arbitrum,9497729.30737875,"['0xaebdca1bc8d89177ebe2308d62af5e74885dccc3', '0x1111111254eeb25477b68fb85ed929f73a960582', '0xacc076e083a80cb611a8aecb584f575441927c00', '0xfae2ae0a9f87fd35b5b0e24b47bac796a7eefea1', '0xb8549a457deab29dc310761727d61285af33fd53', '0x1f42712540f04478ea8fbb5a27d850a1cb1884f6', '0x9ff74cfb4a4dd7945c859305ed69b88cec1b0c27', '0x011f31d20c8778c8beb1093b73e3a5690ee6271b', '0xeda3c9894aecb1e509a6c60e30e1770aee0b55b4', '0xc1a2fbab31f640e533b964f1d3e80a68c15a2e97', '0xd315a9c38ec871068fec378e4ce78af528c76293', '0x513e300932ffb76f12b33d07e2711b8e0c59fc7c', '0x616a2a065bfe53da48e83e7d709fb428aa3c9f5b', '0xd87899d10eaa10f3ade05038a38251f758e5c0eb', '0x138c115bdcc8709d7f782ecc29dfb3829907d74b', '0x1074eac2c1fee52aaf2ca82bb25fbad539e3d208', '0xac9a19e85a49bacc28bd2deecab3cdfadbfc3e00', '0x111111125421ca6dc452d289314280a0f8842a65', '0xee5f2e39d8abf28e449327bfd44317fc500eb4d8', '0x93cce474015007b38da0ecea96671ee4dc3d40ad', '0x9ffca51d23ac7f7df82da414865ef1055e5afcc3', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x769728b5298445ba2828c0f3f5384227fbf590c5', '0xb0f6ca40411360c03d41c5ffc5f179b8403cdcf8', '0xc715a30fde987637a082cf5f19c74648b67f2db8']","['1inch LOP', 'kyberswap', 'sushiswap', 'trader_joe', 'swaap', 'smardex', 'camelot', 'chronos', 'ramses', 'pancakeswap', '0x API', 'clipper', 'uniswap', 'rubicon']",58877826.64219847,289.71284502048536,382790647.22483134,0x912ce59144191c1204e64559fe8253a0e49e6548,0xaf88d065e77c8cc2239327c5edb3a432268e5831,ARB-USDC,5080705.572274097
