all_time_volume,chain,one_day_volume,pool_ids,projects,seven_day_volume,seven_day_volume_liquidity_ratio,thirty_day_volume,token_a_address,token_b_address,token_pair,usd_liquidity
147414632852.14825,bnb,7659852.63188931,"['0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5', '0x64b4fa6761e8bf60e68fe8c5c97f96ad28f1956d', '0x22d17be4d4fad3034ad23a9dece4ea5fdf8ba66b', '0x4f3126d5de26413abdcf6948943fb9d0847d9818', '0x75cd1617bb1bd1ec0fea557c192f7736dad83780', '0x457dad4ca9e1d4741bd65c217c2134f9178fb0eb', '0x8357056305aa00a893666aeabf555ce5ff4264c0', '0x31034b4c486fc7f50c8c66fda458bd5a418eadba', '0x132f13c3896eab218762b9e46f55c9c478905849', '0x249cd054697f41d73f1a81fa0f5279fcce3cf70c', '0x7e6cd8876fea0b60b3cb937cca7b0fc4819cd879', '0xfd1f3ef1bbdffdbf80ad44cff483d95584eca356', '0x91d0f13f8eb682a637925b2a0b12b309e9feec0c', '0xd120e9d5c839e4ed6e8a0caa2ad4bf406594bccb', '0x8fb977248af9af418c1f471468eb7a7ea40a6515', '0x3b82208353012d154a3c00aaa331686dc09301b0', '0x312bc7eaaf93f1c60dc5afc115fccde161055fb0', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0x2e707261d086687470b515b320478eb1c88d49bb', '0xc98f01bf2141e1140ef8f8cad99d4b021d10718f', '0xed94ed7d65f60574291ab318ee9651be96325de0', '0x84e47c7f2fe86f6b5efbe14fee46b8bb871b2e05', '0xff20c5c4d31c3f9decbcdc4aea9f396b36255843', '0xbe60d4c4250438344bec816ec2dec99925deb4c7', '0xc3dac2049616326e7d596ce52062789d96373b55', '0x1625f94b9185c028733e3eb41c8203b6b8a11729', '0x0520451b19ad0bb00ed35ef391086a692cfc74b2', '0x7286f5be4e531f6ea7660c739108d95aa2fef959', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0x023ff63aa03060cfe97018e2854318bea9873fd5', '0xda8ceb724a06819c0a5cdb4304ea0cb27f8304cf', '0x6eaec629b9cfa7acd507c50887c4851507da67e6', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x169f653a54acd441ab34b73da9946e2c451787ef', '0xc019d58f8108168e542cf3db65f740080a03cc4b', '0xbfd138c54a828dc86cda47dbe28ac175df1aa6e0', '0x6321b57b6fdc14924be480c54e93294617e672ab', '0x9e735753b074e79891df677cc5756fbd2d591242', '0x7efaef62fddcca950418312c6c91aef321375a00', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0xef763609e773a911a897a93e29c4aefb2bf40221', '0x80c31eb5024ab5730a1d18a0ac5766181fefe39e', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0x62c1dec1ff328dcdc157ae0068bb21af3967acd9', '0xd63b2fa0696518b6239ab1f4f7c6556f06c31219', '0xab57578b5e86234999897eb0be2ac22c9b4d01dc', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0x160caed03795365f3a589f10c379ffa7d75d4e76', '0x61b44ac128858b9638cd5a8171cb067b021e0041']","['pancakeswap', 'airswap', 'babyswap', 'maverick', 'iziswap', 'wombat', 'apeswap', 'uniswap', 'hashflow', 'dodo', 'kyberswap', 'trader_joe', 'biswap', 'sushiswap', 'thena', 'mdex', 'ellipsis_finance']",44708393.11815448,58.38573531152966,275318453.21858925,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,BUSD-USDT,37521344.0594789
119821215222.15456,bnb,135797729.0518674,"['0xc89060d60f9c980978001e130b27057c631196d0', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0x132f13c3896eab218762b9e46f55c9c478905849', '0xec303ce1edbebf7e71fc7b350341bb6a6a7a6381', '0xd405b976ac01023c9064024880999fc450a8668b', '0xf258929a659f68ace4732e36f626d6d1544878ac', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x7862d9b4be2156b15d54f41ee4ede2d5b0b455e4', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0x6be6a437a1172e6c220246ecb3a92a45af9f0cbc', '0x47a90a2d92a8367a91efa1906bfc8c1e05bf10c4', '0x04580ce6dee076354e96fed53cb839de9efb5f3f', '0x09cb618bf5ef305fadfd2c8fc0c26eecf8c6d5fd', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0x74c2050d2a31471f97cf38c1cdc3c54497169695', '0xf9600e7d4d0c9a40e619f85ffa3ec8102962ec33', '0xab57578b5e86234999897eb0be2ac22c9b4d01dc', '0xfeafe253802b77456b4627f8c2306a9cebb5d681', '0xf964529721ecd0c9386d922a37cbbd2b67ea6e93', '0x6fe9e9de56356f7edbfcbb29fab7cd69471a4869', '0x75cd1617bb1bd1ec0fea557c192f7736dad83780', '0x83c5b5b309ee8e232fe9db217d394e262a71bcc0', '0xb253f1c41d6f5a2c254023133f516b43e64bf704', '0x8489d142da126f4ea01750e80ccaa12fd1642988', '0xaa35220cb1aeb447f5a400c3d5a64d227c319601', '0x4d170f8714367c44787ae98259ce8adb72240067', '0xef763609e773a911a897a93e29c4aefb2bf40221', '0x2905817b020fd35d9d09672946362b62766f0d69', '0xf048cf3eac3c17ad47ae1c4e37408040177a8554', '0x36696169c63e42cd08ce11f5deebbcebae652050', '0x1401ff943d08a7e098328c1d3a9d388923b115d2', '0xbf529076bf8d976c321e21f0cd3c52fbff51008e', '0x730020485af4f03c6afd4031c1c6a3c3289ec8a7', '0x4820a57651642f12bea337cac3ece8c5346d1112', '0x7ba9a18a46b7320224de22a4c7f9e6aaca2083dd', '0x295034c85045a433239cb61ca534628a13271b1e', '0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae', '0x7e6cd8876fea0b60b3cb937cca7b0fc4819cd879', '0x63dcede8ae05b7a9320f5e0a90b6c16be0ad33c5', '0xbf365ce9cfcb2d5855521985e351ba3bcf77fd3f', '0x90db9f2c40fd0f39c3756620bd702d810aba6741', '0x6805e0e5333c5c3accf2930be4734e2b98f4ce06', '0x8a1ed8e124fdfbd534bf48baf732e26db9cc0cf4', '0x8840c6252e2e86e545defb6da98b2a0e26d8c1ba', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0x172fcd41e0913e95784454622d1c3724f546f849', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0xc0e2792774b2f602f74f6056ed95ab958d253823', '0xc019d58f8108168e542cf3db65f740080a03cc4b', '0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5']","['airswap', 'kyberswap', 'thena', 'trader_joe', 'uniswap', 'babyswap', 'mdex', 'dodo', 'iziswap', 'hashflow', 'apeswap', 'sushiswap', 'pancakeswap', 'maverick', 'woofi', 'biswap']",883965935.8514352,354.1775143152777,6696536931.80269,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,USDT-WBNB,124791368.7519638
83859771545.01266,bnb,4326113.789499178,"['0x85faac652b707fdf6907ef726751087f9e0b6687', '0xc83f96f87f586a858a14c89e16434460bac0b643', '0x132f13c3896eab218762b9e46f55c9c478905849', '0x340192d37d95fb609874b1db6145ed26d1e47744', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0xdb2177fee5b0ebdc7b8038cb70f3964bb6d14143', '0x75cd1617bb1bd1ec0fea557c192f7736dad83780', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0x58f876857a02d6762e0101bb5c46a8c1ed44dc16', '0x9f494c121a932f9ed575c6c96f885e51ec6b367b', '0x483653bcf3a10d9a1c334ce16a19471a614f4385', '0xacaac9311b0096e04dfe96b6d87dec867d3883dc', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0x2c93437fa01c0123ed21e8b862762c887c119513', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x6167c86326d3d088d6ebba415aaf172613bb579c', '0xcb99fe720124129520f7a09ca3cbef78d58ed934', '0x51e6d27fa57373d8d4c256231241053a70cb1d93', '0xe49f5ca131354ed5ffb9273f17bd7f3017727db6', '0x32776ed4d96ed069a2d812773f0ad8ad9ef83cf8', '0x7e6cd8876fea0b60b3cb937cca7b0fc4819cd879', '0xab57578b5e86234999897eb0be2ac22c9b4d01dc', '0x1c79d6599a5ff35922b2aed8d2a2eacbc77ebd44', '0xc019d58f8108168e542cf3db65f740080a03cc4b', '0x2533dfe14568a2a43b438c79f456ae03423da2e4', '0xdf84c66e5c1e01dc9cbcbbb09f4ce2a1de6641d6', '0x8f45b99bf65cdbf9bc0c0b4846d6a324d2de5314', '0x0fe261aee0d1c4dfddee4102e82dd425999065f4', '0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5', '0xef763609e773a911a897a93e29c4aefb2bf40221', '0x469efaaadb06b5f4618ed1907aba380411f9a200', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0xdc558d64c29721d74c4456cfb4363a6e6660a9bb']","['airswap', 'mdex', 'pancakeswap', 'uniswap', 'hashflow', 'ellipsis_finance', 'thena', 'biswap', 'maverick', 'apeswap', 'iziswap', 'babyswap', 'dodo', 'sushiswap']",22755566.226643596,22.571853978596916,126738561.76745978,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,BUSD-WBNB,34276725.89232191
61707748875.56894,bnb,15977493.106573122,"['0x038ebba96937d741391b5750bccbf18c2b673940', '0x3efebc418efb585248a0d2140cfb87afcc2c63dd', '0xef763609e773a911a897a93e29c4aefb2bf40221', '0x76008e4007ab26142dbeafee24d6113de47eb76b', '0x64b4fa6761e8bf60e68fe8c5c97f96ad28f1956d', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0xd5f05644ef5d0a36ca8c8b5177ffbd09ec63f92f', '0x92b7807bf19b7dddf89b706143896d05228f3121', '0x7e6cd8876fea0b60b3cb937cca7b0fc4819cd879', '0x160caed03795365f3a589f10c379ffa7d75d4e76', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0xccdfcd1aac447d5b29980f64b831c532a6a33726', '0x1b9a1120a17617d8ec4dc80b921a9a1c50caef7d', '0x2542ed6a5127a1366aaa3fc15e523813a34bf49f', '0xaec97c3465d83b1952c3a251036df88a635c060c', '0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5', '0x9c0352baf49678867920163d57965fcbcf0c63b2', '0x4f31fa980a675570939b737ebdde0471a4be40eb', '0x75cd1617bb1bd1ec0fea557c192f7736dad83780', '0x0520451b19ad0bb00ed35ef391086a692cfc74b2', '0x18dd96c4accaff702106b0923f671538a5abe540', '0x13869d64ed4c7dd1c263aa92d5982cae54b85c8f', '0x9f4da89774570e27170873befd139a79cb1a3da2', '0x16b59c90561d93afffc2e489937ed4da7668d9ff', '0x7286f5be4e531f6ea7660c739108d95aa2fef959', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x22d17be4d4fad3034ad23a9dece4ea5fdf8ba66b', '0xff20c5c4d31c3f9decbcdc4aea9f396b36255843', '0xf7cfca5380452540ee6cbbba4fb6267073ae2f0a', '0x618f9eb0e1a698409621f4f487b563529f003643', '0x2d9db645a8f645e53a17939eec41d7b786238e03', '0xcc21b0a9a01fcd2103ff75614480bd6a07869053', '0x132f13c3896eab218762b9e46f55c9c478905849', '0xec6557348085aa57c72514d67070dc863c0a5a8c', '0x2c3c320d49019d4f9a92352e947c7e5acfe47d68', '0xd120e9d5c839e4ed6e8a0caa2ad4bf406594bccb', '0x1483767e665b3591677fd49f724bf7430c18bf83', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0xcd1e0b85b72ea3ecdf8a4b79c7bf9bcff5113829', '0x84660586ceea98e4b0aab04653c328cb576db66b', '0x312bc7eaaf93f1c60dc5afc115fccde161055fb0']","['sushiswap', 'biswap', 'dodo', 'ellipsis_finance', 'iziswap', 'hashflow', 'mdex', 'maverick', 'thena', 'babyswap', 'airswap', 'pancakeswap', 'uniswap', 'apeswap', 'trader_joe', 'wombat']",147794130.12652293,71.42343232212667,1419737142.535486,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x55d398326f99059ff775485246999027b3197955,USDC-USDT,86909201.4133148
37584291856.818825,bnb,1026459.6894295076,"['0xff20c5c4d31c3f9decbcdc4aea9f396b36255843', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0xc087c78abac4a0e900a327444193dbf9ba69058e', '0x0520451b19ad0bb00ed35ef391086a692cfc74b2', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0x2354ef4df11afacb85a5c7f98b624072eccddbb1', '0x22536030b9ce783b6ddfb9a39ac7f439f568e5e6', '0x160caed03795365f3a589f10c379ffa7d75d4e76', '0xac18e282c0b89a9981520e148ddd2bf9592e440c', '0x7286f5be4e531f6ea7660c739108d95aa2fef959', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0x7e61c053527a7af0c700ad9d2c8207e386273222', '0x312bc7eaaf93f1c60dc5afc115fccde161055fb0', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x8a2cda336a21420993a013da3055ed650c4b99ed', '0xad0e506a6426b461223ae28d1bf6b20a1a4ba99a', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0x22d17be4d4fad3034ad23a9dece4ea5fdf8ba66b', '0x6ef7d3e45c92b6cb0a1840ecc82377ebd045faef', '0x7e6cd8876fea0b60b3cb937cca7b0fc4819cd879', '0x542717158a059bd23832c3fde7d90b86ea3bea72', '0x6064dbd0ff10bfed5a797807042e9f63f18cfe10', '0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5', '0x64b4fa6761e8bf60e68fe8c5c97f96ad28f1956d', '0x2045c12aa02b7551e430a1fe47b4b795bf84e72f', '0x132f13c3896eab218762b9e46f55c9c478905849', '0x6f2829b3061211c24a34583647e222f72ff2e962', '0xc2f5b9a3d9138ab2b74d581fc11346219ebf43fe', '0xd120e9d5c839e4ed6e8a0caa2ad4bf406594bccb']","['apeswap', 'ellipsis_finance', 'uniswap', 'thena', 'wombat', 'maverick', 'sushiswap', 'kyberswap', 'dodo', 'mdex', 'airswap', 'biswap', 'pancakeswap', 'hashflow']",5186678.858116212,38.6464026913156,59322520.99952524,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,BUSD-USDC,3892048.8431170387
21561827843.022552,bnb,11074850.957865683,"['0xa60a504d92a1c95bda729c3f745b361ca822d6dd', '0x9ad32e3054268b849b84a8dbcc7c8f7c52e4e69a', '0x0fb881c078434b1c0e4d0b64d8c64d12078b7ce2', '0x9f599f3d64a9d99ea21e68127bb6ce99f893da61', '0x132f13c3896eab218762b9e46f55c9c478905849', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0x63b30de1a998e9e64fd58a21f68d323b9bcd8f85', '0xbe141893e4c6ad9272e8c04bab7e6a10604501a5', '0xef763609e773a911a897a93e29c4aefb2bf40221', '0xf5d1fb15a517bc9f7568751c6a42545cff28465b', '0xde67d05242b18af00b28678db34feec883cc9cd6', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0x66e9acba7c3a82c8ee02faf3e325dd55d6581a8c', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0x5af4859f62edb197887da2919ed185a89771826c', '0x87c029bbb64c39a2a6762ac0e031757d2974e275', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0xbf365ce9cfcb2d5855521985e351ba3bcf77fd3f', '0xfa0c1bd534784b978b4d5c426836f7c44f5c0b20', '0x7e6cd8876fea0b60b3cb937cca7b0fc4819cd879', '0x531febfeb9a61d948c384acfbe6dcc51057aea7e', '0x8489d142da126f4ea01750e80ccaa12fd1642988', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0x75cd1617bb1bd1ec0fea557c192f7736dad83780', '0xb125aa15ad943d96e813e4a06d0c34716f897e26', '0x984a826f154de3b939787410bd96b68cb28d3094', '0xf9878a5dd55edc120fde01893ea713a4f032229c', '0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5', '0xf878c876491e716d9ab24db70b24ce8f872a2445']","['thena', 'dodo', 'mdex', 'airswap', 'pancakeswap', 'biswap', 'hashflow', 'apeswap', 'sushiswap', 'woofi', 'babyswap', 'uniswap', 'iziswap']",93272006.39366879,111.3327092902842,467949778.7033476,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x55d398326f99059ff775485246999027b3197955,ETH-USDT,25133316.2522279
21355265255.170086,bnb,23553789.42279993,"['0x2cf9a89de7b86273d4c7db9416c0ef160de136c1', '0x6ee3ee9c3395bbd136b6076a70cb6cff241c0e24', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0x74f674477104c1a9a4918027c7be801f5f8f8909', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0xda28eb7aba389c1ea226a420bce04cb565aafb85', '0x26d0c625e5f5d6de034495fbde1f6e9377185618', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0x06396509195eb9e07c38a016694dc9ff535b128a', '0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4', '0xbf365ce9cfcb2d5855521985e351ba3bcf77fd3f', '0x813c0decbb1097fff46d0ed6a39fb5f6a83043f4', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0xa987f0b7098585c735cd943ee07544a84e923d1d', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x3f803ec2b816ea7f06ec76aa2b6f2532f9892d62', '0x18cf98d06a087f356d4252513a62423cb18e15d4', '0xcf84f1e50ee4fbefac8822c06d0ed01a28904c50', '0x34cce05d2729a272794c928997859745ecb52e43', '0x247f51881d1e3ae0f759afb801413a6c948ef442', '0xf2c9339945bff71dd0bffd3c142164112cd05dc6', '0x8489d142da126f4ea01750e80ccaa12fd1642988']","['airswap', 'mdex', 'dodo', 'uniswap', 'pancakeswap', 'woofi', 'biswap', 'hashflow', 'maverick', 'babyswap']",179847952.45339698,308.02259399135147,1126038150.988135,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x55d398326f99059ff775485246999027b3197955,BTCB-USDT,12845340.021017501
20592382339.08183,bnb,4680176.156409581,"['0xa13afe2df0fa0bb11f2aeaaaf98ac1d591e108d1', '0x3d94d03eb9ea2d4726886ab8ac9fc0f18355fd13', '0x1e213600fa9317feac4ef4087acdf5d0e25d7187', '0x4c1d39e6b736a6a99105ee2a9e7c44bfc56af860', '0x9aa527285cc5b434db53337d09a61d1feaf896ad', '0x8eea120384ace96a63e2f144ef7f9a6f2bbcff8f', '0xd5dad32e7f7fb520a952eec5369699271f51ff4e', '0x133b3d95bad5405d14d53473671200e9342896bf', '0xc98314a5077dba8f12991b29bce39f834e82e197', '0xea7444a5fd3ebdc1fca71deab8dc0351ba6191d7', '0x60593abea55e9ea9d31c1b6473191cd2475a720d', '0x0ed7e52944161450477ee417de9cd3a859b14fd0', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0xafb2da14056725e3ba3a30dd846b6bbbd7886c56', '0xd710dac10b7255fcc0ec929a0e742a18f25b6395', '0x70a164a8eccee2b7a1873af71efdfa82904f937d']","['mdex', 'biswap', 'uniswap', 'maverick', 'babyswap', 'trader_joe', 'pancakeswap', 'airswap', 'apeswap', 'hashflow', 'sushiswap']",30834160.900619145,4.954359045282478,238122788.32157955,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Cake-WBNB,99578284.47650944
18788574658.266293,bnb,18133177.573553074,"['0x986fa45ffbf59404bcf6b80b0cd8efe296cd86b2', '0xc15febf56619a0ce94b21de0be25540900a0a141', '0x12c69cbebb5aed7c85a01bc2206318fb6c03e940', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0x69c737cfc0998c744c0965e5d24f574fff86e1a6', '0x6c7a26da2922593774cce0bfd6cba451ce7ce2b5', '0xf59e9f3e7915ce74381e2946d8de9893294098cc', '0x0f338ec12d3f7c3d77a4b9fcc1f95f3fb6ad0ea6', '0x7d05c84581f0c41ad80ddf677a510360bae09a5a', '0xf15f640958fd08f5175d85d43d706005704f498f', '0x74e4716e431f45807dcf19f284c7aa99f18a4fbc', '0x62fcb3c1794fb95bd8b1a97f6ad5d8a7e4943a1e', '0x5dedfb51216f13692cd6abf5f9c2748b6a3db852', '0xd0e226f674bbf064f54ab47f42473ff80db98cba', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0x6da1ffd9d24e1753d2f46ca53146116c7210b3c5', '0x5bf6941f029424674bb93a43b79fc46bf4a67c21', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8', '0x132f13c3896eab218762b9e46f55c9c478905849', '0x1d168c5b5dea1c6da0e9fd9bf4b7607e4e9d8eec', '0xa0c3ef24414ed9c9b456740128d8e63d016a9e11', '0x1123e75b71019962cd4d21b0f3018a6412edb63c', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0x82e8f9e7624fa038dff4a39960f5197a43fa76aa', '0xd26fa4d47ab61c03259f0cbc9054890df5c3b7ad', '0x75cd1617bb1bd1ec0fea557c192f7736dad83780', '0x4fb87838a29b37598099ef5aa6b3fbeeef987c50', '0xa6317ff234ed629368af74751c50a816df726ce3', '0x1967f71df1493a4655426a030390ee143f13c8ed']","['maverick', 'babyswap', 'sushiswap', 'uniswap', 'trader_joe', 'pancakeswap', 'biswap', 'airswap', 'thena', 'apeswap', 'mdex', 'kyberswap', 'hashflow']",141110113.65668055,98.4535792515579,888768865.4378258,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,ETH-WBNB,42997963.526383735
12930537761.626965,bnb,13512181.046850957,"['0x6bbc40579ad1bbd243895ca0acb086bb6300d636', '0xfc75f4e78bf71ed5066db9ca771d4ccb7c1264e0', '0xfb4010ee26b86cb9588d2248457489b7fa2ab6e4', '0x1e1afe9d9c5f290d8f6996ddb190bd111908a43d', '0x34a143ed5ef7559b4db017d70df3128f782d0816', '0x6017d5ef39b1022f056d6429743c46a4b05d07bf', '0xc7e9d76ba11099af3f330ff829c5f442d571e057', '0xc736fb374dd988eb6076be23fd6e917e957545b1', '0xfeacb05b373f1a08e68235ba7fc92636b92ced01', '0x4e657182d565dc7c2b107eb5edd1e01d32f21c79', '0xa05eeeb2754117a9f9df75a3d5c0e742bc422b8c', '0x61eb789d75a95caa3ff50ed7e47b96c132fec082', '0x921f3f9bca38ebac33e6c86e3b122b23c30e87c4', '0xd328d129e46f9b978416599913102e8cd64593f3', '0x7c728d5842c22bcdf59a0e32e7c4ce3fb2bc25c4', '0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b', '0x6b67112aa7b45e8cdc0a93b8d66a6a36e68ae8e5', '0x969f2556f786a576f32aef6c1d6618f0221ec70e', '0x28df0835942396b7a1b7ae1cd068728e6ddbbafd', '0xfd83d084777143b726dd32d9424c789ad7df1632', '0xfd6e5b7c30538dff2752058e425ad01a56b831cc']","['apeswap', 'biswap', 'hashflow', 'trader_joe', 'sushiswap', 'pancakeswap', 'thena', 'babyswap', 'mdex', 'uniswap']",97283855.02087754,99.48680728370303,813805843.5639918,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,BTCB-WBNB,20534993.64606796
